지진ID,구분,구분명,전송시각,진원시,위도 (단위:`N),경도 (단위:`E),규모 (리히터 기준),진앙지,등록일자,깊이 (단위:KM)
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.14,121.2,6.8,대만 화롄 남남서쪽 97km 지역,2022-09-18 15:54,7
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.13,121.18,5.9,대만 화롄 남남서쪽 99km 지역,2022-09-18 14:29,11
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.08,121.16,6.4,대만 카오슝 동북동쪽 100km 지역,2022-09-17 22:52,7
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-21.2,170.1,7,뉴칼레도니아 누메아 동북동쪽 396km 해역 ,2022-09-14 20:24,124
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.46,129.63,2.4,경북 영덕군 동북동쪽 24km 해역,2022-09-11 16:33,13
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-6.4,146.5,7.7,파푸아뉴기니 모로베 라에 서북서쪽 65km 지역,2022-09-11 9:05,79
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-1.12,98.62,6,인도네시아 파당 서쪽 194km 해역,2022-09-11 8:37,20
2.02E+11,1,지진정보,2.02E+11,2.02E+13,38.95,127.29,3.4,북한 강원 원산 남남서쪽 26km 지역,2022-09-10 15:12,7
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-2.25,138.18,6.1,인도네시아 자야푸라 서쪽 284km 지역,2022-09-10 8:55,29
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-56.58,-25.78,6,남대서양 사우스 샌드위치제도 해역,2022-09-07 0:00,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-0.94,-21.72,6.5,대서양 중앙 해령,2022-09-04 19:16,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-5.65,148.7,6.1,파푸아뉴기니 뉴브린튼섬 칸드리안 서북서쪽 111km 지역,2022-09-03 8:17,127
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.39,129.89,2,경북 영덕군 동쪽 47km 해역,2022-09-03 0:50,18
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.11,125.07,2.5,전남 신안군 흑산도 북북서쪽 58km 해역,2022-09-01 8:39,
2.02E+11,1,지진정보,2.02E+11,2.02E+13,37.17,125.42,2.4,인천 옹진군 연평도 남남서쪽 60km 해역,2022-08-28 2:00,12
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.47,129.62,2.1,경북 영덕군 동북동쪽 24km 해역,2022-08-24 18:37,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-5.08,103.1,6,인도네시아 벵클루 남남동쪽 170km 해역 ,2022-08-24 0:01,59
2.02E+11,1,지진정보,2.02E+11,2.02E+13,34.75,124.3,2.4,전남 신안군 흑산도 서쪽 103km 해역,2022-08-22 13:35,
2.02E+11,3,국외지진,2.02E+11,2.02E+13,25.11,123.55,5.7,대만 타이베이 동쪽 202km 해역,2022-08-22 12:05,162
2.02E+11,1,지진정보,2.02E+11,2.02E+13,38.8,125.95,2.4,북한 황해북도 연산 서남서쪽 28km 지역,2022-08-16 20:46,
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-22.06,170.93,6.2,뉴칼레도니아 누메아 동쪽 460km 해역,2022-08-16 0:00,83
2.02E+11,1,지진정보,2.02E+11,2.02E+13,37.41,124.53,2.7,인천 옹진군 백령도 남남서쪽 62km 해역,2022-08-12 19:43,6
